ra,dec,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth
303.1542119,-56.83144377,23813.28629,24044.32206,-0.275994539,-0.426721245,0.79548645,0.04391291,12.93782806,1,0.024673774,0,nan,nan,-0.014529289,0.032348562,-0.21059604,-0.313632548,-0.015148271,0.032725684,0.008189282,0.048097168,nan,0.53441718,nan,0.053870425,24.94226316,0.070895464,21.94009385,0.110336694,23.90110387,0.024373915,19.93904771,0.011913247,23.39015478,0.019114218,19.39012866,0.013482185,23.05489618,0.028559322,19.23195155,0.021812694,23.15155006,0.090633292,20.38427888,0.186984121,779461,1
303.1440673,-56.82180075,23889.23026,24176.33977,0.05266539,-0.024921149,0.597354949,0.005960112,5.318011284,1,0,0,0.020202146,0.002426225,-0.015846242,0.033678671,0.020230256,0.002638666,-0.015865201,0.033664864,0.007329636,0.04298845,23.60345556,0.055477761,23.26368257,0.055849657,22.24681753,0.006488208,21.69866021,0.006043031,21.45921526,0.002916867,20.77520591,0.002676728,21.2081198,0.003481507,20.45965314,0.003223729,20.92548085,0.004312216,20.28237581,0.003939391,20.92020826,0.012032568,20.3111939,0.011206072,779549,1
303.1389247,-56.8197328,23927.74798,24204.65307,-0.496015936,-0.181086913,0.495267123,0.032608215,9.292430878,1,0,0,nan,nan,-0.015810813,0.033619891,-0.086407967,-0.00265484,-0.015811896,0.033623859,0.007377123,0.042985421,nan,0.678446102,nan,0.129375661,24.79791709,0.060353624,21.70738284,0.055229856,23.26217871,0.013298749,20.01819481,0.009541411,22.69910778,0.010719765,19.58026799,0.010998935,22.39211386,0.015235929,19.38937024,0.015806765,22.53560006,0.052820032,20.4108245,0.126538875,779574,1
303.131323,-56.81207995,23984.69127,24309.41166,0.3910878,0.005954134,0.639760435,0.076669574,10.10147858,1,0.004009691,0,nan,nan,-0.015739706,0.031889107,0.206026688,0.011018429,-0.015745467,0.032021195,0.005962851,0.039957355,28.08377049,3.45282169,nan,0.44059298,25.44498779,0.104313952,23.54006127,0.138852518,24.27177077,0.03337014,21.73944616,0.025569633,23.73808462,0.025916339,21.3903795,0.026318633,23.37842657,0.039031458,21.21180659,0.042614065,23.55123219,0.131462562,21.91122811,0.237455245,779641,1
303.1369948,-56.82586799,23942.21474,24120.67511,0.596829116,-0.057848997,0.747884989,0.025129886,10.89940643,1,0.772835102,0,0.369703526,-0.018776221,-0.014879259,0.035055807,0.369111776,-0.018389706,-0.014917087,0.035130259,0.008862322,0.04708937,23.11301633,0.035408081,22.29496111,0.030376864,23.66602469,0.021802459,22.46351274,0.017315286,23.44873344,0.016512601,21.75933989,0.013239252,23.09534163,0.015851596,21.4707653,0.013373648,22.44194254,0.016544409,20.81837818,0.01430844,21.92568732,0.029768898,20.35683173,0.025638387,783414,1
303.1468865,-56.83077908,23868.143,24053.4375,0.484140873,0.694747031,0.866035402,0.00326015,9.787483215,1,0.119670865,0,0.382737155,0.552956947,-0.014974345,0.032819239,0.384549648,0.551210284,-0.015011665,0.032888759,0.008995729,0.04793759,23.48079935,0.048148853,22.49766499,0.03981278,22.58428289,0.008735535,21.15498683,0.006388928,21.45924528,0.003000453,19.78417843,0.002350585,21.05942905,0.003157688,19.23603282,0.002746526,20.55710379,0.003263915,18.823,0.002725989,20.46538588,0.007786775,18.71233658,0.00642143,783899,1
303.1488916,-56.8316865,23853.18845,24041.06165,-0.201446742,0.734039307,0.967440009,0.00842397,28.39240456,1,0.579081671,0,nan,nan,-0.014904482,0.0321391,-0.189893678,0.665731788,-0.015128119,0.032593876,0.009207013,0.048385966,24.93947667,0.184780751,nan,0.116205695,23.20110692,0.014786079,19.45936856,0.01052685,22.714982,0.008525315,18.68000426,0.004761302,22.55771644,0.009156059,18.38450039,0.005366677,22.13353462,0.012525642,18.03338969,0.006747477,22.13185116,0.03621502,18.62668124,0.034025109,783900,1
303.1461177,-56.82854602,23873.89336,24084.00557,-0.007220928,-0.048849802,0.812905252,0.029015858,13.30640125,1,0.077066983,0,0.117070363,0.05495131,-0.016490134,0.032493192,-0.017098393,-0.033793382,-0.016529119,0.032562234,0.008624432,0.046624035,nan,0.564382934,nan,0.074533736,25.59575377,0.132813478,22.22722093,0.045497269,24.11576381,0.029260696,20.63086123,0.009389394,24.18800463,0.039899039,20.37884843,0.012846985,23.65238698,0.0504773,20.23970951,0.017352221,24.07001444,0.214549294,19.87366573,0.108763792,784066,1
303.152175,-56.82687456,23828.51966,24106.87177,-0.001912228,0.073306993,0.584673941,0.024067067,7.164300442,1,0.029942836,0,-0.01583533,0.049605907,-0.014943219,0.035357212,-0.015867548,0.051760633,-0.014980838,0.035431929,0.008753997,0.047192721,26.11897769,0.553313175,26.44064657,1.037512587,23.74122664,0.023249168,23.20466302,0.022300704,22.97505512,0.01033673,21.99992176,0.009499753,22.85262421,0.011999384,21.87942066,0.011020571,22.68378365,0.020723499,21.82955499,0.019239312,22.68833581,0.059287599,21.81328503,0.058493788,784094,1
303.1450986,-56.82582656,23881.51707,24121.2318,0.350682914,0.278112203,0.508450687,0.008578967,6.508690834,1,9.88E-05,0,0.132709788,0.131635059,-0.014889464,0.035230192,0.132033288,0.132050663,-0.014927086,0.035304807,0.008726772,0.047144031,22.92547672,0.029689713,22.67821814,0.030049338,22.4899995,0.007769268,22.01970542,0.007429112,21.65158558,0.003469472,21.07583669,0.003273322,21.48541004,0.004146686,20.90749198,0.003920638,21.25147492,0.005768084,20.68390061,0.005425533,21.18741735,0.015090995,20.72795279,0.014617041,784111,1
